age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,age_first_milestone_year,age_last_milestone_year,avg_participants,is_top500
0.337878323,0.337878323,0.01754386,0,0.000962984,0.125,0.364688533,0.135897588,0.133333333,1
0.339914357,0.339914357,0.087719298,0,0.000348948,0.25,0.390494868,0.187397391,0.133333333,1
0.39463521,0.39463521,0.105263158,0,0.002629654,0.125,0.416231714,0.206002709,0.133333333,1
0.297325685,0.297325685,0.070175439,0,0.000103334,0,,,0.066666667,0
0.340182597,0.365151491,0.105263158,0.111111111,0.000699826,0.125,0.422650483,0.214733032,0,0
0.360103418,0.360103418,0.105263158,0,0.00071737,0.375,0.423425162,0.246860899,0.066666667,1
0.481939081,0.614397673,0.122807018,0.555555556,0.009439996,0.125,0.57495599,0.421887416,0.216666667,1
0.448822817,0.448822817,0.052631579,0,0.002278776,0.125,0.390425379,0.170902892,0.2,1
0.362226711,0.474589965,0.228070175,0.333333333,0.007278789,0.625,0.463335289,0.405200388,0.2,1
0.441916458,0.597750667,0.385964912,0.222222222,0.004822641,0.375,0.625510876,0.508679565,0,1
0.297590692,0.362759958,0.052631579,0.333333333,0.000585791,0.25,0.403540875,0.21214264,0.033333333,0
0.357091379,0.390828149,0.157894737,0.111111111,0.001050704,0.25,0.456919094,0.327611133,0.1,1
0.373916135,0.373916135,0.087719298,0,0.001341932,0.375,0.467705406,0.481921511,0.333333333,1
0.467593116,0.560652824,0.105263158,0.222222222,0.011541952,0.125,0.570724853,0.416132544,0.244446667,1
0.292368102,0.463698796,0.298245614,0.333333333,0.006085801,0.125,0.493442252,0.311018619,0.083333333,1
0.327342652,0.327342652,0.210526316,0,0.001094564,0.125,0.519179098,0.346023923,0,0
0.433594571,0.433594571,0,0,0.000114211,0,,,0.133333333,0
0.362582209,0.392065929,0.122807018,0.222222222,0.00117242,0.375,0.444156192,0.303058413,0.044446667,1
0.330794215,0.330794215,0.087719298,0,0.000173509,0.375,0.421026488,0.408074323,0.066666667,1
0.330706956,0.405435889,0,0.111111111,0.002112109,0,,,0.066666667,1
0.301931001,0.301931001,0.052631579,0,6.82E-05,0.25,0.405514891,0.194209423,0,1
0.292368102,0.325484366,0.210526316,0.111111111,0.000655966,0.25,0.416303777,0.231514574,0.2,1
0.317514745,0.317514745,0.087719298,0,0.000261229,0.375,0.373431339,0.222980282,0,0
0.411547225,0.485125636,0.122807018,0.111111111,0.002366496,0,,,0.1,1
0.38932213,0.454045407,0.280701754,0.111111111,0.002541935,0.25,0.612397953,0.499760214,0.066666667,1
0.481140826,0.558083542,0.070175439,0.222222222,0.008282033,0,,,0.155553333,1
0.35851014,0.35851014,0.035087719,0,0.002103337,0,,,0.333333333,1
0.299539468,0.358775147,0.140350877,0.333333333,0.000612106,0.375,0.365746317,0.273041366,0.033333333,1
0.292368102,0.292368102,0.035087719,0,0.000875265,0.125,0.367509291,0.13973417,0.066666667,0
0.327520401,0.410128464,0.035087719,0.222222222,0.007717383,0.125,0.454731462,0.258367143,0.2,1
0.307596348,0.307596348,0.210526316,0,8.58E-05,0.25,0.364688533,0.168025456,0,0
0.371615093,0.408800194,0.157894737,0.111111111,0.000699826,0,,,0,1
0.366654278,0.39614123,0.070175439,0.111111111,0.002103337,0.375,0.457199625,0.296057353,0.066666667,1
0.332655732,0.35974792,0.070175439,0.111111111,0.000577019,0.375,0.428994616,0.32224132,0.066666667,1
0.333984003,0.416860305,0.192982456,0.111111111,0.001639508,0.5,0.400578564,0.284166051,0.033333333,1
0.292368102,0.502389917,0.421052632,0.222222222,0.004719834,0.375,0.37336185,0.486237665,0.333333333,1
0.319285772,0.526741537,0.403508772,0.666666667,0.004787553,0.5,0.570724853,0.429942136,0.066666667,1
0.478306536,0.478306536,0.070175439,0,0.000173509,0.25,0.570724853,0.48019575,0.133333333,1
0.311228892,0.435540115,0.087719298,0.333333333,0.001316793,0.375,0.396913637,0.210990965,0,0
0.292368102,0.292368102,0.035087719,0,0.000171755,0,,,0.066666667,0
0.284220732,0.35983841,0.105263158,0.222222222,0.000319123,0.125,0.401142201,0.1854791,0.066666667,0
0.417655328,0.52497051,0.052631579,0.333333333,0.00491036,0.25,0.433297816,0.387841258,0.133333333,1
0.292368102,0.34097762,0.122807018,0.111111111,0.000243685,0.25,0.405373339,0.246955414,0.333333333,1
0.321409065,0.321409065,0.210526316,0,0.000247193,0.375,0.375335866,0.193057748,1,1
0.327607659,0.367539792,0.140350877,0.111111111,0.000208597,0.25,0.43752638,0.300086463,0.333333333,1
0.460509009,0.492384261,0.105263158,0.111111111,0.00175246,0.25,0.557889887,0.587227965,0.233333333,1
0.37577442,0.441295952,0.052631579,0.111111111,0.001243687,0.375,0.379636493,0.493718298,0.033333333,1
0.334691767,0.334691767,0.052631579,0,8.58E-05,0.25,0.390494868,0.181740534,0,1
0.424474428,0.424474428,0.228070175,0,0.000173509,0.25,0.484840998,0.317445593,0.266666667,1
0.357004121,0.407297406,0.052631579,0.111111111,0.000366492,0.125,0.482303345,0.295868324,0.066666667,0
0.478749293,0.546484609,0.280701754,0.111111111,0.006313872,0.125,0.602947384,0.459959184,0,1
0.393659207,0.462105518,0.105263158,0.111111111,0.001184037,0.25,0.445352955,0.259903875,0.033333333,1
0.345582936,0.510889553,0.438596491,0.222222222,0.005980538,0.375,0.508956422,0.393592629,0.166666667,1
0.293518623,0.315830977,0.070175439,0.111111111,1.04E-05,0.25,0.376887798,0.16811997,0,1
0.331857478,0.331857478,0.035087719,0,0.000234913,0.375,0.38393712,0.229883327,0.6,1
0.365151491,0.44554577,0.385964912,0.222222222,0.006841555,0.625,0.502046079,0.390526165,0.133333333,1
0.338056072,0.430673023,0.087719298,0.111111111,0.000154211,0.25,0.398887654,0.317351079,0.166666667,1
0.479457057,0.479457057,0.01754386,0,0.002278776,0,,,0.2,1
0.403222106,0.472020684,0.175438596,0.222222222,0.003419129,0.125,0.566424226,0.410283158,0.155553333,1
0.300337723,0.324686111,0.052631579,0.444444444,3.05E-05,0.125,0.394584453,0.176559749,0.066666667,1
0.368160297,0.400743314,0.052631579,0.111111111,0.012682305,0,,,0.233333333,1
0.294494627,0.434124586,0.263157895,0.333333333,0.012261252,0,,,0.25,1
0.436251111,0.48999596,0.052631579,0.111111111,0.001770003,0.125,0.534199121,0.366453018,0.133333333,1
0.517621395,0.517621395,0.105263158,0,0.000875265,0.25,0.366873591,0.554907568,0.266666667,1
0.324686111,0.410306213,0.175438596,0.111111111,0.002120881,0.125,0.454731462,0.258367143,0,1
0.414998788,0.414998788,0.368421053,0,0.007892822,0,,,0,0
0.454045407,0.454045407,0.052631579,0,0.001138423,0.125,0.506205154,0.328377749,0,1
0.325749374,0.325749374,0.087719298,0,0.000454211,0.25,0.402199986,0.213101785,0.2,1
0.35974792,0.422260645,0.087719298,0.444444444,0.000204737,0.125,0.429136169,0.223554368,0.266666667,1
0.29812394,0.422612911,0.105263158,0.222222222,0.002173513,0.5,0.459245705,0.389469005,0.044446667,1
0.424209421,0.424209421,0,0,0.000699826,0,,,0.333333333,1
0.294139129,0.294139129,0.070175439,0,1.56E-05,0.25,0.366451507,0.14989971,0,0
0.292898117,0.292898117,0.01754386,0,3.33E-06,0.125,0.364688533,0.135897588,0.066666667,0
0.388258867,0.412432738,0.280701754,0.111111111,0.007454225,0.375,0.543999712,0.427638787,0.3,1
0.392156419,0.392156419,0.105263158,0,0.000541931,0.125,0.493442252,0.311018619,0.266666667,1
0.319285772,0.419604104,0.456140351,0.333333333,0.009647212,0.625,0.454309377,0.404241243,0.116666667,1
0.262706633,0.262706633,0.070175439,0,0.000261229,0,,,0.133333333,0
0.292368102,0.292368102,0.035087719,0,1.58E-06,0.125,0.364688533,0.135897588,0,0
0.277934879,0.329465945,0.245614035,0.222222222,0.000352983,0.25,0.443451002,0.267093965,0.02222,1
0.295024642,0.319463521,0.070175439,0.111111111,0.000787545,0.625,0.364688533,0.282345775,0.3,1
0.404463117,0.404463117,0.052631579,0,0.005261238,0.125,0.416162224,0.205908195,0.2,1
0.308572352,0.398885029,0.315789474,0.222222222,0.004647202,0.5,0.417925198,0.380840197,0.066666667,1
0.333893512,0.357269128,0.210526316,0.111111111,0.000998072,0.375,0.420321299,0.256448852,0.2,1
0.342835905,0.342835905,0.105263158,0,0.000129649,0.375,0.396700022,0.197947989,0.533333333,1
0.273507312,0.335755029,0.070175439,0.666666667,7.83E-05,0.25,0.364688533,0.190082297,0,1
0.334514018,0.377988204,0.070175439,0.222222222,0.000573918,0.25,0.364688533,0.264601587,0.066666667,1
0.36789529,0.36789529,0.087719298,0,0.000699826,0.5,0.379636493,0.218951171,0,1
0.281567423,0.299804476,0.087719298,0.111111111,0.000875265,0,,,0,1
0.485477903,0.531256363,0.087719298,0.222222222,0.014033185,0.125,0.467705406,0.276013316,0.2,1
0.32477337,0.559146805,0.105263158,0.333333333,0.011998093,0,,,0.2,1
0.417920336,0.48184859,0.157894737,0.111111111,0.001173511,0.5,0.437667933,0.349860504,0.466666667,1
0.490260968,0.490260968,0.157894737,0,0.003155971,0.125,0.519251161,0.346121937,0.4,1
0.354612588,0.354612588,0.01754386,0,0.002103337,0.25,0.40763046,0.222213665,0.066666667,1
0.359482912,0.44297972,0.157894737,0.111111111,0.00238404,0.25,0.48265594,0.301332652,0.133333333,1
0.287940535,0.394014705,0.052631579,0.222222222,0.000227895,0.5,0.310816167,0.290207967,0,0
0.337526056,0.337526056,0.01754386,0,3.40E-05,0,,,0,0
0.350896017,0.371702351,0.035087719,0.111111111,0.000204211,0.125,0.38393712,0.162078055,0,0
0.413761008,0.413761008,0.035087719,0,0.003857727,0.375,0.338951687,0.439533589,0.2,1
0.409953947,0.677084916,0.50877193,0.666666667,0.041789379,0.375,0.647371753,0.579841846,0.066666667,1
0.330176941,0.418188576,0.140350877,0.444444444,0.000936668,0.375,0.42391931,0.255969279,0.133333333,1
0.475384988,0.475384988,0.070175439,0,0.005261238,0.125,0.493442252,0.311018619,0.533333333,1
0.278820393,0.313885433,0.350877193,0.222222222,0.003945446,0,,,0.2,1
0.314858205,0.330794215,0.087719298,0.111111111,0.001050704,0.375,0.381752062,0.227776008,0.333333333,1
0.316538741,0.382680779,0.087719298,0.222222222,0.004384044,0.25,0.417642093,0.27016393,0.066666667,1
0.66185667,0.66185667,0.01754386,0,0.003506849,0,,,0.266666667,1
0.454578654,0.454578654,0.01754386,0,0.004577026,0,,,0.066666667,1
0.289711562,0.332122485,0.070175439,0.111111111,0.000243685,0.25,0.372798213,0.181355475,0.133333333,0
0.421727398,0.546749616,0.087719298,0.111111111,0.00175246,0.125,0.368847607,0.141554445,0.2,1
0.34230589,0.438374404,0.105263158,0.333333333,0.01252441,0.375,0.407488907,0.308046669,0.111113333,1
0.308572352,0.370639089,0.368421053,0.222222222,0.001822635,0.375,0.437245849,0.341900298,0.333333333,1
0.292280844,0.292280844,0.035087719,0,8.58E-05,0.125,0.365604764,0.137143777,0,0
0.295111901,0.295111901,0.122807018,0,0.0029279,0.25,0.338951687,0.1405953,0.2,0
0.33548679,0.390120385,0.157894737,0.222222222,0.002013809,0.25,0.442462707,0.252710286,0.155553333,1
0.528777571,0.528777571,0.105263158,0,0.002977199,0.125,0.493514315,0.311116634,0,1
0.326544397,0.349567747,0.105263158,0.222222222,2.14E-05,0.25,0.391200058,0.174833987,0,1
0.292368102,0.292368102,0.087719298,0,1.58E-06,0.25,0.371740428,0.166107165,0,0
0.308481862,0.403047588,0.245614035,0.222222222,0.00229632,0.625,0.41580963,0.344585205,0.044446667,1
0.316538741,0.521515715,0.087719298,0.111111111,0.002647198,0.375,0.570724853,0.481539953,0,0
0.459271229,0.486453906,0.01754386,0.222222222,0.004407133,0,,,0,1
0.368247556,0.403222106,0.070175439,0.111111111,0.005261238,0.25,0.425329689,0.276013316,0.1,1
0.373382888,0.438817161,0.649122807,0.444444444,0.052542031,0.25,0.491609788,0.334612194,0.05,1
0.314237699,0.339206593,0.035087719,0.111111111,1.79E-06,0.125,0.364688533,0.135897588,0,1
0.329908702,0.390563141,0.122807018,0.111111111,0.009998089,0.25,0.448739924,0.329816467,0.166666667,1
0.363997738,0.363997738,0.087719298,0,0.000173509,0.5,0.38393712,0.255489707,0,1
0.46989739,0.505136948,0.052631579,0.111111111,0.002278776,0.125,0.538499748,0.372302404,0.033333333,1
0.383036277,0.383036277,0.105263158,0,0.000524387,0.25,0.44196856,0.298647745,0,1
0.292368102,0.44156096,0.263157895,0.333333333,0.004103341,0.375,0.44937305,0.320323029,0.083333333,1
0.322737335,0.464228812,0.228070175,0.444444444,0.012980551,0,,,0.288886667,1
0.358952897,0.493712531,0.122807018,0.222222222,0.004945448,0,,,0.133333333,1
0.347971237,0.460777248,0.105263158,0.222222222,0.004559482,0.25,0.44189907,0.367219634,0.044446667,1
0.320171285,0.386930597,0.070175439,0.222222222,0.00333141,0.125,0.44189907,0.240913498,0.066666667,1
0.357004121,0.552062697,0.157894737,0.333333333,0.005136497,0.125,0.534199121,0.366453018,0.111113333,1
0.3462907,0.594121354,0.298245614,0.333333333,0.007085803,0.375,0.554647045,0.502543135,0.044446667,1
0.341242627,0.408977943,0.140350877,0.111111111,0.001287546,0.375,0.398604548,0.281481144,0.233333333,1
0.292368102,0.642023107,0.49122807,0.222222222,0.002568251,0.125,0.611409659,0.471468928,0,0
0.33814333,0.399857801,0.192982456,0.111111111,0.006313872,0.375,0.478424802,0.479523648,0.166666667,1
0.346377959,0.41473378,0.192982456,0.222222222,0.001934916,0.25,0.484840998,0.334899237,0.1,1
0.284398481,0.284398481,0.157894737,0,0.000699826,0.5,0.354182752,0.396855124,0,0
0.316538741,0.360103418,0.105263158,0.111111111,0.000348948,0.375,0.407277865,0.209265204,0.033333333,1
0.412254989,0.581814656,0.122807018,0.333333333,0.004437552,0.125,0.467705406,0.276013316,0.066666667,1
1,1,0.01754386,0,0.001401582,0.125,1,1,0.066666667,0
0.311758908,0.428901996,0.157894737,0.222222222,0.00166474,0.25,0.345439946,0.29260583,0.066666667,1
0.419070857,0.51000404,0.052631579,0.222222222,0.007717383,0,,,0.088886667,1
0.318309768,0.318309768,0.070175439,0,0.000208597,0.125,0.501482442,0.321954276,0,0
0.632725216,0.632725216,0,0,0.000454211,0,,,0,1
0.292368102,0.311228892,0.157894737,0.111111111,2.00E-05,0.25,0.379708556,0.156708241,0,0
0.303967036,0.404550376,0.666666667,0.444444444,0.024910399,0.375,0.450641877,0.317638122,0.28,1
0.380379737,0.380379737,0.087719298,0,0.000103334,0.375,0.38824032,0.35676705,0.4,1
0.296087905,0.329556435,0.122807018,0.222222222,0.007366505,0,,,0.111113333,1
0.362317201,0.446253535,0.228070175,0.222222222,0.002103337,0.25,0.467705406,0.372302404,0.066666667,1
0.468126363,0.499823867,0.456140351,0.111111111,0.006313872,0.125,0.519251161,0.346121937,0.166666667,1
0.454223156,0.454223156,0.035087719,0,0.00017,0,,,0,0
0.284311222,0.362317201,0.736842105,0.333333333,0.008208612,0.75,0.401003222,0.364727256,0.1,1
0.300515472,0.303259271,0.087719298,0.111111111,7.79E-05,0,,,0.233333333,1
0.318752525,0.318752525,0,0,0.000348948,0,,,0,0
0.29263311,0.329465945,0.087719298,0.222222222,0.000155965,0.375,0.364124896,0.178863098,0.033333333,1
0.535150683,0.613864426,0.052631579,0.444444444,0.009024403,0.125,0.375405355,0.150473797,0.311113333,1
0.292368102,0.42022461,0.421052632,0.444444444,0.015787574,0.375,0.487237098,0.316199404,0.186666667,1
0.353552557,0.371437343,0.070175439,0.111111111,0.002015618,0.375,0.416162224,0.250599466,0,1
0.357976893,0.595536883,0.175438596,0.333333333,0.008699841,0.125,0.596461698,0.451137847,0.111113333,1
0.407740163,0.407740163,0.035087719,0,0.001647196,0.375,0.516008318,0.464275338,0,1
0.179035307,0.305117557,0.087719298,0.222222222,0.00198053,0.25,0.340573108,0.138869539,0,1
0.823003959,0.823003959,0,0,0.001050704,0,,,0.133333333,0
0.357004121,0.357004121,0.140350877,0,3.32E-05,0.375,0.391130568,0.24666837,0.066666667,1
0.433061323,0.433061323,0.122807018,0,0.00175246,0.375,0.523482298,0.454109798,0.2,1
0.292368102,0.384009049,0.122807018,0.444444444,0.007647208,0.375,0.439852991,0.286756444,0.133333333,1
0.305738063,0.372322857,0.333333333,0.222222222,0.005524397,0.125,0.44189907,0.240913498,0.155553333,1
0.316364224,0.343456411,0.175438596,0.222222222,0.000800703,0.375,0.397757806,0.241008013,0.266666667,1
0.362317201,0.481405833,0.052631579,0.333333333,0.012629673,0.125,0.519179098,0.346023923,0.083333333,1
0.364175487,0.529220328,0.070175439,0.222222222,0.001927898,0.125,0.544988007,0.381127241,0.044446667,1
0.376307667,0.376307667,0.122807018,0,0.002133162,0.25,0.439783502,0.327803662,0.133333333,1
0.419513614,0.443687485,0.052631579,0.111111111,0.003199831,0.125,0.467705406,0.276013316,0.1,1
0.405435889,0.405435889,0.105263158,0,0.000875265,0.125,0.44189907,0.240913498,0,1
0.305738063,0.305738063,0.157894737,0,1.56E-05,0.375,0.540545827,0.44653465,0,1
0.322029571,0.380557486,0.140350877,0.222222222,0.001840179,0.375,0.426879047,0.23142006,0.066666667,1
0.319638038,0.428811505,0.315789474,0.222222222,0.004213868,0.375,0.384289715,0.308431727,0.17778,1
0.332833481,0.352932051,0.228070175,0.222222222,0.000454211,0.25,0.486109824,0.314281114,0.17778,1
0.292368102,0.370816838,0.140350877,0.111111111,0.001582284,0.25,0.427162152,0.223361839,0.2,1
0.450858851,0.450858851,0,0,5.95E-05,0,,,0,0
0.427573725,0.522931243,0.140350877,0.222222222,0.011998093,0.125,0.493442252,0.311018619,0.366666667,1
0.377193181,0.377193181,0.01754386,0,0.008419139,0.375,0.438656228,0.2864694,0.266666667,1
0.292103094,0.292103094,0.210526316,0,0.000410352,0.375,0.441193881,0.265560732,0.066666667,1
0.292368102,0.292368102,0.070175439,0,5.51E-05,0.125,0.396913637,0.179727729,0.2,0
0.451831623,0.451831623,0.035087719,0,0.002103337,0.125,0.364688533,0.135897588,0.2,1
0.305738063,0.464849317,0.368421053,0.333333333,0.005613169,0.375,0.50676879,0.387550714,0.044446667,1
0.313885433,0.359573402,0.403508772,0.222222222,0.00175246,0.375,0.442673749,0.285989827,0.111113333,1
0.311138402,0.380822493,0.192982456,0.111111111,0.001612108,0.25,0.413977166,0.299032803,0,1
0.422525652,0.55967682,0.263157895,0.333333333,0.004296324,0.625,0.514245344,0.524407448,0.22222,1
0.300515472,0.313174436,0.105263158,0.111111111,9.14E-05,0.25,0.397335722,0.197083358,0.266666667,1
0.341333118,0.349389998,0.105263158,0.111111111,0.000390712,0.125,0.38393712,0.162078055,0,1
0.357091379,0.357091379,0.210526316,0,0.001927898,0.25,0.45889311,0.278701723,0.133333333,1
0.32742991,0.480433061,0.245614035,0.333333333,0.007366505,0.5,0.52813552,0.466386158,0.088886667,1
0.308216854,0.308216854,0.105263158,0,4.02E-05,0.125,0.3950786,0.177231851,0.066666667,1
0.359040155,0.50610972,0.087719298,0.333333333,0.002661233,0,,,0,1
0.309810132,0.340890361,0.105263158,0.111111111,0.000344562,0.25,0,0.213196299,0.133333333,0
0.30201826,0.30201826,0.01754386,0,1.40E-06,0.125,0.372373555,0.146350172,0,0
0.307421831,0.331947968,0.087719298,0.111111111,5.07E-05,0.25,0.364688533,0.178768583,0.066666667,1
0.304054294,0.304054294,0.157894737,0,1.56E-05,0.375,0.374347571,0.154887966,0,0
0.350718268,0.350718268,0.01754386,0,0.000524387,0,,,0,1
0.305650804,0.305650804,0.175438596,0,0.001068248,0.25,0.364688533,0.224608028,0.2,1
0.38126525,0.440675446,0.368421053,0.333333333,0.010699845,0.25,0.568537221,0.458331437,0.133333333,1
0.411547225,0.619975761,0.035087719,0.333333333,0.004752815,0.125,0.44196856,0.241008013,0.244446667,1
0.276341601,0.33292074,0.368421053,0.111111111,0.001050704,0.25,0.420604404,0.296921984,0.2,1
0.309545124,0.354434839,0.210526316,0.222222222,0.000366492,0.25,0.422719973,0.240146882,0.2,1
0.319373031,0.413935526,0.087719298,0.222222222,0.000247316,0.125,0.387957215,0.167545883,0.066666667,1
0.375509413,0.375509413,0.122807018,0,8.58E-05,0.25,0.428503042,0.299319847,0.266666667,1
0.335312273,0.357976893,0.087719298,0.222222222,0.000265615,0.25,0.416162224,0.206961855,0.111113333,1
0.374003393,0.392686435,0.087719298,0.111111111,0.003910358,0.25,0.44196856,0.455355986,0.233333333,1
0.292368102,0.292368102,0.052631579,0,4.19E-05,0.125,0.452476914,0.255300678,0.133333333,0
0.436073362,0.553655975,0.070175439,0.555555556,0.008596127,0.125,0.534199121,0.366453018,0.133333333,1
0.260050093,0.365061,0.052631579,0.111111111,5.95E-05,0.125,0.409673966,0.197083358,0,1
0.37577442,0.37577442,0.070175439,0,0.003506849,0.25,0.44196856,0.297209027,0.2,1
0,0,0.105263158,0,1.56E-05,0.25,0.20906812,0,0,0
0.327963157,0.352841561,0.245614035,0.111111111,0.002105092,0.25,0.432803669,0.230268386,0.1,1
0.332742991,0.353284318,0.070175439,0.111111111,0.000177018,0.25,0.422650483,0.248681175,0.1,1
0.34885675,0.448115052,0.140350877,0.333333333,0.009708615,0.25,0.467705406,0.304595146,0.2,1
0.32742991,0.464849317,0.140350877,0.444444444,0.001822635,0.25,0.348824341,0.297209027,0.05,1
0.365768765,0.498495597,0.140350877,0.555555556,0.009439628,0,,,0.266666667,1
0.292368102,0.38542781,0.263157895,0.111111111,0.002226145,0.125,0.424905031,0.217799497,0.033333333,1
0.405170881,0.405170881,0.175438596,0,0.00175246,0.375,0.510366802,0.427929331,0.066666667,1
0.295732407,0.369488568,0.122807018,0.111111111,0.000699826,0.25,0.424693989,0.233625394,0,1
0.374888907,0.499025612,0.263157895,0.111111111,0.002243689,0.125,0.535467947,0.368178779,0.066666667,1
0.292368102,0.292368102,0.035087719,0,7.02E-07,0.125,0.364688533,0.135897588,0,0
0.297681183,0.340799871,0.105263158,0.111111111,0.000612106,0.25,0.446130208,0.330103511,0,0
0.329821443,0.329821443,0.052631579,0,3.40E-05,0.375,0.362995048,0.239569295,0.4,1
0.372410116,0.377810455,0.140350877,0.111111111,0.003638428,0.375,0.452615893,0.317925166,0.066666667,1
0.964760443,0.964760443,0.035087719,0,0.005612116,0,,,0.4,1
0.409776198,0.409776198,0.070175439,0,0.01315599,0.5,0.394231858,0.268151125,0,0
0.339562091,0.498938353,0.070175439,0.222222222,0.010173528,0.125,0.529898494,0.360603631,0.266666667,1
0.344784681,0.464671568,0.087719298,0.111111111,0.00175246,0.125,0.268157345,0.004603197,0.133333333,1
0.533379656,0.533379656,0.122807018,0,0.005085799,0.125,0.508462275,0.331447714,0.4,1
0.31538822,0.366211521,0.087719298,0.111111111,0.000910353,0.25,0.414893398,0.215786692,0,1
0.332035227,0.482113598,0.070175439,0.333333333,0.005787555,0.25,0.458540515,0.370289599,0.288886667,1
0.319285772,0.319285772,0.052631579,0,9.37E-05,0,,,0.066666667,1
0.356031348,0.419070857,0.035087719,0.111111111,0.004033166,0,,,0.133333333,1
0.317159247,0.317159247,0.01754386,0,6.84E-06,0.125,0.364688533,0.135897588,0,0
0.457409712,0.457409712,0.052631579,0,0.004384044,0,,,0.2,1
0.335755029,0.348148986,0.140350877,0.111111111,0.001015616,0.25,0.362572964,0.196124213,0.2,1
0.401806577,0.401806577,0.070175439,0,0.000261229,0.25,0.363913854,0.290880068,0.066666667,0
0.311316151,0.377635938,0.228070175,0.222222222,0.002892813,0.5,0.455861309,0.348421786,0.02222,1
0.297768441,0.414556031,0.105263158,0.111111111,0.000107912,0.375,0.463404779,0.350053033,0,1
0.505931971,0.505931971,0,0,3.32E-05,0,,,0,0
0.393571948,0.464141553,0.087719298,0.222222222,0.007015628,0.125,0.519179098,0.346023923,0.155553333,1
0.33557728,0.338321079,0.087719298,0.111111111,0.000176141,0.125,0.379778045,0.156421198,0,0
0.357091379,0.493625273,0.140350877,0.222222222,0.011240197,0.25,0.467705406,0.512610661,0.2,1
